ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
TELFAIR-:-MCRAE,1535,444,971,1415,881,63,714,777,536,374,162,536,22,1,11,12,7,1,6,7,89,5,78,83,0.313780918727915,0.686219081272085,0.549116607773852,0.0810810810810811,0.918918918918919,0.378798586572438,0.697761194029851,0.302238805970149,0.00848056537102473,0.0833333333333333,0.916666666666667,0.0049469964664311,0.142857142857143,0.857142857142857,0.0586572438162544,0.0602409638554217,0.939759036144578,8
TELFAIR-:-MILAN,610,63,473,536,532,46,424,470,27,16,11,27,3,0,2,2,0,0,0,0,48,1,36,37,0.117537313432836,0.882462686567164,0.876865671641791,0.0978723404255319,0.902127659574468,0.0503731343283582,0.592592592592593,0.407407407407407,0.00373134328358209,0,1,0,0,0,0.0690298507462687,0.027027027027027,0.972972972972973,8
TELFAIR-:-SCOTLAND,257,41,181,222,190,13,148,161,44,28,16,44,7,0,2,2,0,0,0,0,16,0,15,15,0.184684684684685,0.815315315315315,0.725225225225225,0.0807453416149068,0.919254658385093,0.198198198198198,0.636363636363636,0.363636363636364,0.00900900900900901,0,1,0,0,0,0.0675675675675676,0,1,8
TERRELL-:-BRONWOOD,487,293,148,441,219,59,123,182,232,226,6,232,8,1,3,4,2,0,1,1,26,7,15,22,0.664399092970522,0.335600907029479,0.412698412698413,0.324175824175824,0.675824175824176,0.526077097505669,0.974137931034483,0.0258620689655172,0.0090702947845805,0.25,0.75,0.00226757369614512,0,1,0.0498866213151927,0.318181818181818,0.681818181818182,2
TERRELL-:-DAWSON,1874,1477,303,1780,466,136,250,386,1349,1322,27,1349,7,2,3,5,13,4,6,10,39,13,17,30,0.829775280898876,0.170224719101124,0.21685393258427,0.352331606217617,0.647668393782383,0.757865168539326,0.979985174203113,0.0200148257968866,0.00280898876404494,0.4,0.6,0.00561797752808989,0.4,0.6,0.0168539325842697,0.433333333333333,0.566666666666667,2
TERRELL-:-GRAVES,411,166,199,365,270,50,180,230,117,112,5,117,4,0,2,2,1,0,1,1,19,4,11,15,0.454794520547945,0.545205479452055,0.63013698630137,0.217391304347826,0.782608695652174,0.320547945205479,0.957264957264957,0.0427350427350427,0.00547945205479452,0,1,0.00273972602739726,0,1,0.0410958904109589,0.266666666666667,0.733333333333333,2
TERRELL-:-HEROD-DOVER,202,105,84,189,109,22,74,96,84,81,3,84,2,2,0,2,0,0,0,0,7,0,7,7,0.555555555555556,0.444444444444444,0.507936507936508,0.229166666666667,0.770833333333333,0.444444444444444,0.964285714285714,0.0357142857142857,0.0105820105820106,1,0,0,0,0,0.037037037037037,0,1,2
TERRELL-:-PARROTT,341,147,141,288,198,35,124,159,119,111,8,119,3,0,0,0,1,0,0,0,20,1,9,10,0.510416666666667,0.489583333333333,0.552083333333333,0.220125786163522,0.779874213836478,0.413194444444444,0.932773109243698,0.0672268907563025,0,0,0,0,0,0,0.0347222222222222,0.1,0.9,2
TERRELL-:-SASSER,913,343,445,788,578,92,380,472,254,241,13,254,12,3,4,7,1,0,1,1,68,7,47,54,0.435279187817259,0.564720812182741,0.598984771573604,0.194915254237288,0.805084745762712,0.322335025380711,0.948818897637795,0.0511811023622047,0.00888324873096447,0.428571428571429,0.571428571428571,0.00126903553299492,0,1,0.0685279187817259,0.12962962962963,0.87037037037037,2
THOMAS-:-BARWICK,472,84,286,370,361,14,254,268,76,70,6,76,4,0,2,2,3,0,3,3,28,0,21,21,0.227027027027027,0.772972972972973,0.724324324324324,0.0522388059701493,0.947761194029851,0.205405405405405,0.921052631578947,0.0789473684210526,0.00540540540540541,0,1,0.00810810810810811,0,1,0.0567567567567568,0,1,2
