ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
PICKENS-:-REFUGE,3332,274,2088,2362,2917,203,1892,2095,34,29,5,34,93,6,31,37,14,0,6,6,274,36,154,190,0.0822328931572629,0.626650660264106,0.875450180072029,0.0695920466232431,0.648611587247172,0.0102040816326531,0.852941176470588,0.147058823529412,0.0279111644657863,0.0645161290322581,0.333333333333333,0.00420168067226891,0,0.428571428571429,0.0822328931572629,0.131386861313869,0.562043795620438,11
PICKENS-:-SHARPTOP,2256,291,1513,1804,1936,239,1322,1561,9,6,3,9,45,9,19,28,16,5,6,11,250,32,163,195,0.128989361702128,0.670656028368794,0.858156028368794,0.123450413223141,0.682851239669422,0.00398936170212766,0.666666666666667,0.333333333333333,0.0199468085106383,0.2,0.422222222222222,0.00709219858156028,0.3125,0.375,0.110815602836879,0.128,0.652,11
PICKENS-:-TALKING ROCK,1681,102,1118,1220,1451,81,984,1065,10,6,4,10,47,9,21,30,14,1,7,8,159,5,102,107,0.0606781677572873,0.665080309339679,0.863176680547293,0.0558235699517574,0.67815299793246,0.00594883997620464,0.6,0.4,0.0279595478881618,0.191489361702128,0.446808510638298,0.0083283759666865,0.0714285714285714,0.5,0.0945865556216538,0.0314465408805031,0.641509433962264,11
PICKENS-:-TATE,2125,147,1342,1489,1868,114,1206,1320,14,12,2,14,48,3,22,25,16,1,4,5,179,17,108,125,0.0691764705882353,0.631529411764706,0.879058823529412,0.0610278372591006,0.645610278372591,0.00658823529411765,0.857142857142857,0.142857142857143,0.0225882352941177,0.0625,0.458333333333333,0.00752941176470588,0.0625,0.25,0.0842352941176471,0.0949720670391061,0.603351955307263,11
PICKENS-:-YELLOW CREEK,2775,325,1805,2130,2407,271,1577,1848,8,5,3,8,61,4,32,36,17,4,9,13,282,41,184,225,0.117117117117117,0.650450450450451,0.867387387387387,0.112588284171167,0.655172413793103,0.00288288288288288,0.625,0.375,0.021981981981982,0.0655737704918033,0.524590163934426,0.00612612612612613,0.235294117647059,0.529411764705882,0.101621621621622,0.145390070921986,0.652482269503546,11
PIERCE-:-ALABAHA,864,53,592,645,746,33,528,561,22,16,6,22,16,1,4,5,5,0,3,3,75,3,51,54,0.0613425925925926,0.685185185185185,0.863425925925926,0.0442359249329759,0.707774798927614,0.025462962962963,0.727272727272727,0.272727272727273,0.0185185185185185,0.0625,0.25,0.00578703703703704,0,0.6,0.0868055555555556,0.04,0.68,1
PIERCE-:-BLACKSHEAR,2384,165,1600,1765,2032,97,1419,1516,60,54,6,60,51,5,15,20,16,0,10,10,225,9,150,159,0.0692114093959732,0.671140939597316,0.852348993288591,0.0477362204724409,0.698326771653543,0.0251677852348993,0.9,0.1,0.0213926174496644,0.0980392156862745,0.294117647058824,0.00671140939597315,0,0.625,0.0943791946308725,0.04,0.666666666666667,1
PIERCE-:-HACKLEBARNEY/CASON,2432,355,1539,1894,1924,86,1366,1452,316,261,55,316,55,2,21,23,3,0,3,3,134,6,94,100,0.145970394736842,0.6328125,0.791118421052632,0.0446985446985447,0.70997920997921,0.129934210526316,0.825949367088608,0.174050632911392,0.0226151315789474,0.0363636363636364,0.381818181818182,0.00123355263157895,0,1,0.0550986842105263,0.0447761194029851,0.701492537313433,1
PIERCE-:-MERSHON,341,11,252,263,285,6,218,224,7,4,3,7,9,1,4,5,0,0,0,0,40,0,27,27,0.032258064516129,0.73900293255132,0.835777126099707,0.0210526315789474,0.764912280701754,0.0205278592375367,0.571428571428571,0.428571428571429,0.0263929618768328,0.111111111111111,0.444444444444444,0,0,0,0.117302052785924,0,0.675,1
PIERCE-:-OTTER CREEK,1276,84,874,958,1088,48,771,819,41,35,6,41,16,0,3,3,3,1,2,3,128,0,92,92,0.0658307210031348,0.684952978056426,0.852664576802508,0.0441176470588235,0.708639705882353,0.0321316614420063,0.853658536585366,0.146341463414634,0.0125391849529781,0,0.1875,0.00235109717868339,0.333333333333333,0.666666666666667,0.100313479623824,0,0.71875,1
PIERCE-:-PATTERSON,837,89,595,684,682,20,530,550,72,66,6,72,21,1,14,15,5,0,4,4,57,2,41,43,0.106332138590203,0.710872162485066,0.814814814814815,0.0293255131964809,0.777126099706745,0.0860215053763441,0.916666666666667,0.0833333333333333,0.025089605734767,0.0476190476190476,0.666666666666667,0.00597371565113501,0,0.8,0.0681003584229391,0.0350877192982456,0.719298245614035,1
PIERCE-:-ST. JOHNS/BLACKSHEAR,1033,66,692,758,917,49,627,676,17,15,2,17,24,2,10,12,4,0,3,3,71,0,50,50,0.063891577928364,0.669893514036786,0.887705711519845,0.0534351145038168,0.683751363140676,0.0164569215876089,0.882352941176471,0.117647058823529,0.0232333010648596,0.0833333333333333,0.416666666666667,0.00387221684414327,0,0.75,0.0687318489835431,0,0.704225352112676,1
